,id,nome
318,63043,TRON Collection
321,141290,The Lord of the Rings Animated Collection
325,263193,Charlotte's Web Collection
326,141292,The Secret Of NIMH Collection
327,8783,Fievel Collection
329,102782,House Collection
331,87805,The Gods Must Be Crazy Collection
334,143755,Henry: Portrait of a Serial Killer Collection
336,264338,Rosemary's Baby Collection
339,47983,Killer Tomatoes! Collection
340,735,Blade Collection
341,432,Cube Collection
342,90863,Rush Hour Collection
343,52760,Urban Legend
344,479888,The Thing Collection
347,348843,Vampires Collection
348,100286,Elizabeth Collection
350,374384,Stepford Collection
351,57129,Rugrats Collection
352,374509,Godzilla (Showa) Collection
353,374511,Godzilla (Heisei) Collection
355,135495,King Kong (1933 series)
356,135498,King Kong (1976 series)
358,104833,Fletch Collection
362,9338,Police Academy Collection
370,5039,Rambo Collection
373,89264,Romancing the Stone Collection
375,86307,Cocoon Collection
385,340623,The Gate Collection
387,123213,The Fly (1958 series)
388,109609,The Fly Collection
390,111751,Texas Chainsaw Massacre Collection
394,9332,Crocodile Dundee Collection
396,387219,The Hustler Collection
397,387618,8MM Collection
398,10789,Pet Sematary Collection
402,33938,Airport Collection
405,124934,Alligator Collection
406,166698,Westworld Collection
407,1709,Planet of the Apes Original Collection
414,110127,Analyze Collection
415,52789,Cruel Intentions Collection
417,2344,The Matrix Collection
418,1733,The Mummy Collection
419,205860,The Black Mask Collection
421,221544,The Mummy (Universal Series)
422,138965,The Mummy (Hammer Series)
427,8537,Superman Collection
431,221539,Dracula (Universal Series)
437,259027,The Wolf Man (Universal Series)
438,123720,Frankenstein (Hammer Series)
442,281644,Rocky Horror Collection
443,87228,Swamp Thing Collection
445,106768,Tarzan (Animation) Collection
446,2806,American Pie Collection
447,104068,Tales of the Four Seasons
449,64750,Blair Witch Collection
450,97768,Lake Placid Collection
451,2980,Ghostbusters Collection
453,237445,Inspector Gadget Collection
454,185682,The Adventures of Antoine Doinel
455,135502,Allan Quatermain Collection
458,91663,Airplane Collection
462,180854,Problem Child Collection
464,201873,A Christmas Story Collection
465,10713,Universal Soldier Collection
467,123251,Iron Eagle Collection
471,189295,The Spiders Serial
472,143757,Stir of Echoes Collection
473,98168,Fright Night Collection
475,146136,Armour of God Collection
477,47770,Phantasm Collection
480,12203,Drunken Master Collection
481,124492,The Dirty Dozen Collection
485,59586,The Blue Lagoon collection
488,380822,Penitenciaría - Colección
490,122947,Omega Code Series
491,381396,Bats Collection
492,243598,The Best Man Collection
493,89188,Harry Palmer Collection
494,391047,On Any Sunday Collection
501,248339,House on Haunted Hill Collection
502,98036,Re-Animator Collection
503,107725,Creepshow Collection
506,212279,Piranha Collection
507,398740,Mister Roberts Collection
508,48037,Meatballs Collection
512,34055,Pokémon Collection
516,95051,The Up Series
520,95664,Deuce Bigalow Collection
521,135509,The Last Picture Show Collection
522,321063,The Sinbad Collection
523,99727,Stuart Little Collection
526,421904,Batman (DC Universe Animated) Collection
527,103573,Sister Act Collection
529,8979,Wayne's World Collection
533,110179,The Cutting Edge Collection
535,338282,Single White Female Collection
536,87186,The Boondock Saints Collection
537,327598,"To Sir, with Love Collection"
538,2794,The Chronicles of Riddick Collection
539,103577,The Whole Nine/Ten Yards Collection
540,93568,Cross of Iron Collection
541,124950,American Graffiti Collection
544,8864,Final Destination Collection
545,14377,Death Wish Collection
550,1582,Teenage Mutant Ninja Turtles (Original) Collection
556,8647,The Skulls Collection
558,366826,Navarone Collection
559,338327,Beach Party Collection
560,170754,Arthur Collection
561,466318,Bachelor Party Collection
562,399,Predator Collection
563,86105,American Psycho Collection
564,159616,East is East Collection
565,104847,Caddyshack Collection
569,256484,Carnosaur Collection
572,175858,Hidden Collection
573,127280,The Three Mothers Collection
574,342009,Die Nibelungen Filmreihe
575,246839,Center Stage Collection
576,179244,Pee-wee's Collection
578,96679,Road Trip Collection
580,59567,Shanghai Noon Collection
585,44979,Big Momma's House Collection
588,123726,Quatermass (Hammer series)
590,107949,Puppet Master Collection
597,424830,The Benji Collection
600,157671,The Decline of Western Civilization Collection
603,10456,Dirty Harry Collection
604,109592,Porky's Collection
607,263866,Nuke 'Em High Collection
608,32135,The Toxic Avenger Collection
612,174245,Alien Nation Collection
613,8945,Mad Max Collection
616,121195,9½ Weeks Collection
617,207447,Firestarter Collection
618,495,Shaft Collection
620,171439,F/X Collection
622,46512,Missing in Action Collection
628,173628,Nekromantik Collection
631,4246,Scary Movie Collection
632,748,X-Men Collection
636,166376,Hollow Man Collection
640,123256,Pumpkinhead Collection
641,47391,Sleepaway Camp Collection
642,123249,"Ilsa, She Wolf of the SS Collection"
643,223564,The Cell Collection
644,374512,Godzilla (Millennium) Collection
647,25410,The Art of War Collection
648,430186,Bring It On Collection
650,8412,Anatomy Collection
660,221537,Creature From The Black Lagoon (Universal Series)
661,259401,The Invisible Man (Universal Series)
662,138971,The Slumber Party Massacre Collection
665,138974,The Sorority House Massacre Collection
667,39244,Digimon Collection
668,51509,Meet the Parents Collection
669,240690,Billy Jack Collection
671,44913,Ghoulies Collection
675,86029,Charlie's Angels Collection
679,290973,"Crouching Tiger, Hidden Dragon Collection"
680,106498,Dungeons & Dragons Collection
682,52783,Wall Street Collection
683,178117,The Emperor's New Groove Collection
684,93220,Miss Congeniality Collection
685,115822,Dracula 2000 Collection
686,312735,Annie Collection
687,107469,Save The Last Dance Collection
690,141282,The Brave Little Toaster Collection
691,330555,Ernest Collection
694,109076,Lost Boys Collection
695,124951,Mannequin Collection
696,109082,Left Behind Collection
697,287016,Wong Kar-Wai's Informal Collection
699,421084,Disneys Große Pause
700,366444,Demetrius Filmreihe
701,116847,Dr. Phibes Collection
703,48190,Revenge of the Nerds Collection
705,257571,C.H.U.D. Collection
706,86486,Spy Kids Collection
710,8936,Bridget Jones Collection
711,353325,Joe Dirt Collection
714,2150,Shrek Collection
716,441439,Alienation Trilogy
717,110021,The Magnificent Seven Collection
719,100965,Atlantis Collection
720,2467,Tomb Raider Collection
722,9485,The Fast and the Furious Collection
723,3963,The Crimson Rivers Collection
724,87014,Cats & Dogs Collection
727,421566,Totò Collection
728,101688,Cannonball Run Collection
731,427956,Dr Goldfoot Collection
735,140760,Final Fantasy Collection
736,86024,Legally Blonde Collection
740,10893,Critters Collection
744,182617,Elvira Collection
748,101471,Return of the Living Dead Collection
750,89272,The Man From Snowy River Collection
752,86347,Short Circuit Collection
755,126220,The Waxwork Collection
756,91945,American Ninja Collection
760,91746,Bill & Ted's Most Excellent Collection
762,98853,Cyborg Collection
763,351230,Dream a Little Dream Collection
764,186102,Eddie and the Cruisers Collection
766,88735,K-9 Collection
767,105322,Kickboxer Collection
768,9521,Look Who's Talking Collection
772,87631,The Musketeers Collection
773,224976,Road House Collection
774,138706,The Stepfather Collection
776,87536,Warlock Collection
779,104716,Basket Case Collection
780,107674,The Princess Diaries Collection
782,239968,La cage aux folles
784,168182,Philo & Clyde Collection
786,94899,Jeepers Creepers Collection
791,383632,A Man Called Horse Collection
792,352789,Zoolander Collection
793,166378,Joy Ride Collection
794,41649,The Party Collection
797,178106,Darko Collection
798,137696,"Monsters, Inc. Collection"
799,276838,When a Stranger Calls Collection
800,1241,Harry Potter Collection
801,449750,Fanny Brice Collection
802,106000,Beastmaster Collection
804,284024,The Exterminator Collection
805,211753,Caprona Collection
809,98513,Behind Enemy Lines Collection
810,304,Ocean's Collection
812,119,The Lord of the Rings Collection
813,476056,Fritz the Cat Collection
815,395591,Sex and Zen Collection
816,93295,48 Hrs. Collection
819,87214,The Sandlot Collection
821,449462,Super Troopers Collection
823,262011,Sleuth Collection
825,124879,State Property Collection
826,215326,The Bad New Bears Collection
829,460292,The Lone Ranger (Clayton Moore) Collection
831,122952,Vampire Hunter D Collection
832,19160,FernGully Collection
833,133923,Zombi Collection
834,108669,Get Smart Collection
835,221308,"Oh, God! Collection"
837,8354,Ice Age Collection
838,17255,Resident Evil Collection
839,456980,The Paleface Collection
840,135441,Road to Collection
845,87220,Smokey and the Bandit Collection
848,112537,Sällskapsresorna
850,43220,National Lampoon’s Van Wilder Collection
851,261526,Slap Shot Collection
852,389767,My Big Fat Greek Wedding Collection
853,256729,War Trilogy
855,406817,Horror High Collection
856,107688,3 Men Collection
858,116669,The Scorpion King Collection
860,5202,Wild Orchid Collection
861,556,Spider-Man Collection
862,178654,White Fang Collection
867,31562,The Bourne Collection
868,86860,Scooby-Doo Collection
870,97461,Lilo & Stitch Collection
872,363014,Like Mike Collection
877,167456,Our Man Flint Collection
878,113635,The Modesty Blaise Collection
881,52785,xXx Collection
882,356437,Living Trilogy
883,115839,Blue Crush Collection
884,117777,Undisputed Collection
885,363966,Care Bears Collection
888,135501,976-EVIL Collection
891,176097,Barbershop Collection
892,9518,The Transporter Collection
895,267922,The Hills Have Eyes (Original) Collection
898,277739,"Heaven, Hell and Purgatory Collection"
906,123724,Dracula (Hammer Series)
907,386818,Django - Original films
910,14563,The Ring Collection
913,288280,Saturday Night Fever Collection
915,457305,Man of Marble/Iron Collection
916,373538,Enter the Ninja Collection
917,97237,Faces of Death Collection
923,169329,Göta kanal collection
924,295862,The BRD Collection
925,264437,My Bloody Valentine Collection
927,17178,Jackass Collection
930,43063,Half Past Dead Collection
933,148517,"Pagnol, Childhood's Memories"
936,88574,Scanners Collection
940,218293,Brother Collection
941,12075,Elling Collection
942,296429,I Spit on Your Grave (Original) Collection
943,374386,Anglo-Zulu War Collection
945,140126,Vabank (Collection)
946,63170,Jönsson Gang
948,164397,Class of 1999 Collection
949,423877,Turkish Star Wars
952,85960,My Girl Collection
956,104842,Blue Collar Comedy Tour Collection
958,227147,Tokyo Decadence series
959,10517,Le Gendarme de St. Tropez Collection
962,315750,They Call Me Bruce Collection
964,137766,Zapped Collection
967,195441,Dennis the Menace Collection
968,405393,The Black Stallion Collection
970,375886,Willard
971,354210,Born Free Trilogy
972,93369,Ringu Collection
974,261057,I Am Curious Collection
975,100992,The Flicka Collection
977,8385,Aki Kaurismäki's Finland trilogy
978,105625,House of 1000 Corpses Collection
980,228887,Daddy Day Camp Collection
981,92222,Breakin' Collection
983,431417,Nevada Smith Collection
985,239766,The Klapisch Trilogy
987,124949,Almighty Collection
988,137697,Finding Nemo Collection
989,52985,Wrong Turn Collection
996,1565,28 Days/Weeks Later Collection
1000,295,Pirates of the Caribbean Collection
1002,86117,Johnny English Collection
1003,194752,Trilogie
1006,289531,Gator Collection
1010,221111,S.W.A.T. Collection
1013,91427,Agent Cody Banks Collection
1014,91799,Tremors Collection
1017,7505,Elements Trilogy
1020,330892,Sides of the Bed
1021,201576,The Cabin Fever Collection
1023,10457,Once Upon a Time in China Collection
1027,2326,Underworld Collection
1028,409138,Yossi Collection
1029,201778,Dorm Daze Collection
1030,187736,Leningrad Cowboys Collection
1031,168880,Beethoven Collection
1033,11794,Ginger Snaps Collection
1035,117927,House of the Dead Collection
1036,2883,Kill Bill Collection
1037,425175,Texas Chainsaw (Reboot) Collection
1039,96472,Brother Bear Collection
1040,264335,The Eye Collection
1044,478628,Sherlock Holmes (1939 series)
1049,423173,Bad Santa Collection
1050,45154,Darkman Collection
1051,208765,Europa Trilogy
1053,151263,WarGames Collection
1055,397444,Kindergarten Cop Collection
1056,16302,Battle Royale Collection
1057,43066,Teen Wolf Collection
1059,19285,Leprechaun Collection (Original Series)
1062,144689,Honey Collection
1064,114783,Cheaper by the Dozen Collection
1066,245129,Pumping Iron Collection
1067,157890,The Matt Helm Collection
1068,52749,The Butterfly Effect Collection
1069,353721,You Got Served Collection
1072,158373,The Lost Skeleton Collection
1073,201930,Blacula Collection
1080,1952,USA: Land of Opportunities Collection
1081,17235,Hellboy Collection
1082,86334,The Prince & Me Collection
1083,299748,Walking Tall Collection
1088,99606,Mean Girls Collection
1089,109608,Van Helsing Collection
1090,205977,The Kingdom
1091,404111,100 Girls Collection
1096,10441,Babylon 5 Collection
1098,126166,The Delta Force Collection
1099,272673,Cat People Collection
1101,159340,Bang Rajan Collection
1102,14246,Sniper Collection
1111,478442,Lammbock Collection
1112,122945,The Legend Collection
