id,name,gender
3060,Jeanie Drynan,1
3062,Daniel Wyllie,2
3066,Gabby Millgate,0
3067,Gennie Nevinson,1
3068,Matt Day,2
3070,Chris Haywood,2
3072,Daniel Lapaine,2
31,Tom Hanks,2
32,Robin Wright,1
33,Gary Sinise,2
35,Sally Field,1
37821,Michael Conner Humphreys,2
204997,Hanna Hall,1
9640,Haley Joel Osment,2
6751,Siobhan Fallon,1
37825,Afemo Omilami,2
37822,Peter Dobson,2
37823,Sonny Shroyer,2
951881,George Kelly,2
36221,Sam Anderson,2
1215432,Margo Moorer,0
1019727,Christopher Jones,2
37832,Kevin Mangan,0
29934,Brett Rice,2
14526,Daniel C. Striepeke,2
6310,David Brisbin,0
154697,Kirk Ward,2
37831,Marlena Smalls,0
37830,Kitty K. Green,1
975108,Mark Matheisen,2
129725,Al Harrington,2
37824,Jed Gillin,0
1346510,Don Fischer,2
1088274,Matt Wallace,0
114326,Mike Jolly,2
170051,Michael Kemmerling,2
95140,John Voldstad,0
1446990,Daniel J. Gillooly,0
1401994,Michael Burgess,0
1235787,Steven Griffith,0
163441,Michael McFall,2
92658,Byron Minns,2
81692,Stephen Bridgewater,2
37827,John William Galt,2
1313819,Isabel Rose,0
1409948,Richard D'Alessandro,0
46921,Michael Jace,2
148122,Geoffrey Blake,2
406976,Vanessa Roth,1
10565,Dick Cavett,2
1405338,Tiffany Salerno,0
86434,Joe Alaskey,2
1465241,Lazarus Jackson,0
37828,Nora Dunfee,0
1327149,Hallie D'Amore,0
37829,Michael Mattison,2
176329,Charles Boswell,2
169643,Timothy McNeil,2
196855,Bob Penny,2
98873,Greg Brown,0
13204,Troy Christian,2
84901,Bryan Hanna,2
1392671,Zach Hanner,0
1273540,Aaron Michael Lacey,0
42961,Jacqueline Lovell,1
1150593,Brendan Shanahan,0
567126,William Shipman,0
173277,Robb Skyler,2
23967,Mary Ellen Trainor,0
1533,Andie MacDowell,1
10726,James Fleet,2
4001,Simon Callow,2
10727,John Hannah,2
5470,Kristin Scott Thomas,1
10728,David Bower,2
10729,Charlotte Coleman,1
10730,Rowan Atkinson,2
10731,Anna Chancellor,1
10736,Timothy Walker,0
117557,Sara Crowe,1
1075073,Ronald Herdman,0
151439,Elspet Gray,0
189281,Philip Voss,2
2479,Rupert Vansittart,2
141354,Nicola Walker,1
137927,Struan Rodger,2
26717,David Haig,2
32990,Sophie Thompson,1
13328,Corin Redgrave,2
1220019,Amanda Mealing,0
70961,Bernice Stegers,1
135180,Robert Lang,2
55037,Jeremy Kemp,2
1229281,Ken Drury,2
210169,Polly Kemp,0
1733,Nick Nolte,2
3712,Saul Rubinek,2
8986,James Rebhorn,2
1204,Julia Roberts,1
1162,Robert Loggia,2
53924,Kelly Rutherford,1
19131,Marsha Mason,1
26510,Eugene Levy,2
1270,Charles Martin Smith,2
76470,Dan Butler,2
7675,Paul Gleason,2
209,Jane Adams,1
86633,Lisa Lu,1
4496,Nora Dunn,1
33054,Keith Gordon,0
206,Jim Carrey,2
6941,Cameron Diaz,1
42168,Nancy Fish,1
53400,Tim Bagley,2
53401,Johnny Williams,2
20899,Peter Riegert,2
11803,Peter Greene,2
1219,Amy Yasbeck,1
53402,Richard Jeni,2
53403,Orestes Matacena,2
29214,Anne Fletcher,1
38951,Reg E. Cathey,2
1219157,Jim Doughan,0
111078,Denis Forest,2
15372,Jeremy Roberts,2
131667,Ben Stein,2
5503,Gabrielle Anwar,1
660,Anthony Higgins,2
56687,Fyvush Finkel,2
56688,Sandra Reaves-Phillips,0
56689,LaChanze,0
56690,Mike Moyer,0
56691,Saverio Guerra,2
56692,Daniel Hagen,0
56693,Paula Laurence,1
56694,Donna Mitchell,1
10386,Debra Monk,1
56695,Michael Tucker,2
12438,Bob Balaban,2
56696,Isaac Mizrahi,2
6486,Dan Hedaya,2
5344,Meg Ryan,1
12928,Ross Malinger,2
12929,Rosie O'Donnell,0
12930,Gaby Hoffmann,1
8536,Victor Garber,2
12931,Rita Wilson,1
12932,Barbara Garrick,1
3026,Rob Reiner,2
10679,Carey Lowell,1
11076,David Hyde Pierce,2
13314,Dana Ivey,1
60018,Tom Riis Farrell,2
557850,Le Clanché du Rand,0
77022,Kevin O'Morrison,2
1648581,Valerie Wright,0
4432,Frances Conroy,1
75201,Tom Tammi,2
1260945,Calvin Trillin,0
1910,Caroline Aaron,1
1212453,Linda Wallem,1
1792779,Victor Morris,0
12073,Mike Myers,2
18331,Nancy Travis,1
57829,Anthony LaPaglia,2
99,Amanda Plummer,1
18345,Brenda Fricker,1
28164,Charles Grodin,2
14104,Phil Hartman,2
5578,Debi Mazar,1
3214,Steven Wright,2
50807,Michael Richards,2
15105,Mike Hagerty,2
1903,Alan Arkin,2
111080,Patrick Bristow,2
1878988,Cintra Wilson,0
161318,Al Nalbandian,0
1878989,George F. Mauricio,0
1878990,Kiki Douveas,0
80109,Marla Sokoloff,1
15827,Scott Weinger,2
2157,Robin Williams,2
15829,Linda Larkin,1
15830,Jonathan Freeman,2
15831,Frank Welker,2
15832,Gilbert Gottfried,2
15833,Douglas Seale,2
81178,Charlie Adler,2
35219,Corey Burton,2
12077,Jim Cummings,2
19545,Jack Angel,2
613123,Philip L. Clarke,2
81843,Jennifer Darling,1
51517,Jerry Houser,0
214701,Sherry Lynn,0
84493,Mickie McGowan,0
61968,Patrick Pinney,2
61969,Phil Proctor,2
73016,Debi Derryberry,1
156565,Vera Lockwood,1
15834,Bruce Adler,2
228428,Brad Kane,2
15838,Lea Salonga,0
25627,Hal Smith,2
1205,Richard Gere,2
1208,Ralph Bellamy,2
1206,Jason Alexander,2
1210,Héctor Elizondo,2
1211,Larry Miller,2
1212,Laura San Giacomo,1
747,Alex Hyde-White,0
1209,Elinor Donahue,1
1220,Judith Baldwin,1
5587,Hank Azaria,2
42162,John David Carson,2
1779786,Michael French,0
1708724,Allan Kent,0
1211994,"Stacy Keach, Sr.",0
166393,Scott Marshall,2
4090,Shirley MacLaine,1
70233,Ricki Lake,1
18269,Brendan Fraser,2
13636,Jane Krakowski,1
11628,Loren Dean,2
30488,Miguel Sandoval,2
114029,Susan Haskell,1
163013,Cathryn de Prume,0
1986,Peter Gerety,2
201812,Kate Hennig,1
1212933,Victor A. Young,0
9575,Jada Pinkett Smith,1
5563,James Coburn,2
4169,Dave Chappelle,2
64343,John Ales,2
182726,Patricia Wilson,1
59019,Jamal Mixon,2
1077909,Nichole McAuley,0
154874,Hamilton von Watts,0
995587,Chao Li Chi,2
166838,Tony Carlin,2
179954,Quinn Duffy,0
154214,Montell Jordan,2
193580,Doug Williams,2
116774,David Ramsey,2
154176,Chaz Lamar Shepherd,2
937565,Lisa Halpern,0
1208039,Arthur Tovey,0
9313,Lisa Boyle,1
42687,Athena Massey,1
12833,Edward Burns,2
69298,Michael McGlone,2
4491,Jennifer Aniston,1
21398,Maxine Bahns,1
41087,Leslie Mann,1
2956,Amanda Peet,1
12052,Gwyneth Paltrow,1
10697,Alan Cumming,2
3061,Ewan McGregor,2
18325,Jeremy Northam,2
21245,Greta Scacchi,1
6238,Juliet Stevenson,1
6416,Polly Walker,1
32989,Denys Hawthorne,2
2467,James Cosmo,2
17787,Phyllida Law,1
99905,Kathleen Byron,1
219496,Edward Woodall,0
1215232,Brian Capron,2
1229905,Karen Westwood,0
49349,Rebecca Craig,0
192866,Angela Down,1
16697,John Franklyn-Robbins,2
1269,Kevin Costner,2
25129,Don Johnson,0
11159,Cheech Marin,2
156756,George Perez,2
14343,Rene Russo,1
53602,Linda Hart,1
83362,Dennis Burkley,2
16937,Rex Linn,2
20748,Lou Myers,0
3205,Richard Lineback,2
100230,Mickey Jones,2
154295,Michael Milhoan,2
13294,Gene Kelly,2
13295,Donald O'Connor,2
8857,Debbie Reynolds,1
13296,Jean Hagen,1
13297,Millard Mitchell,2
41226,Cyd Charisse,1
13298,Douglas Fowley,0
13299,Rita Moreno,1
29814,Mae Clarke,1
121323,Bess Flowers,1
2784,Robert Foulk,2
7210,Kathleen Freeman,1
55997,Joi Lansing,1
1213241,Sylvia Lewis,0
85778,'Snub' Pollard,2
15992,William Schallert,2
121765,Elaine Stewart,1
120473,Brick Sullivan,0
97999,John George,2
5320,Leslie Caron,0
27966,Oscar Levant,2
27967,Georges Guétary,2
13026,Nina Foch,1
8638,Anna Q. Nilsson,1
96701,John Eldredge,2
40623,Hayden Rorke,2
1426931,Dudley Field Malone,0
124736,Ann Codee,0
120545,Eugene Borden,2
1421075,Martha Bamattre,0
43824,Madge Blake,1
243805,Noel Neill,1
1932,Audrey Hepburn,0
1933,George Peppard,2
1934,Patricia Neal,1
1935,Buddy Ebsen,2
1936,Martin Balsam,2
1937,Mickey Rooney,0
1942,José Luis de Villalonga,2
1943,John McGiver,2
1944,Alan Reed,2
1945,Dorothy Whitney,1
1946,Beverly Powers,1
1947,Stanley Adams,2
1948,Claude Stroud,0
1949,Elvia Allman,1
1950,Orangey,0
385470,Charles Sherlock,2
11492,Clark Gable,2
30155,Claudette Colbert,1
30156,Walter Connolly,2
30157,Roscoe Karns,0
30158,Jameson Thomas,2
8729,Alan Hale,2
29263,Arthur Hoyt,2
30159,Blanche Friderici,0
30160,Charles C. Wilson,2
4303,Ward Bond,2
30530,Irving Bacon,2
14453,James Burke,2
89729,Joseph Crehan,2
1172948,Mickey Daniels,0
117036,Milton Kibbee,0
122978,Ray Cooke,2
3151,Jack Lemmon,2
4091,Fred MacMurray,2
4093,Ray Walston,2
4094,Jack Kruschen,2
571911,David Lewis,2
4097,Hope Holiday,1
3161,Joan Shawlee,1
4096,Naomi Stevens,1
4099,Johnny Seven,2
40381,Joyce Jameson,1
87517,Willard Waterman,2
141694,David White,2
4098,Edie Adams,1
1234545,Dorothy Abbott,0
1551605,Ralph Moratz,2
1250242,Joe Palma,0
16527,Bill Baldwin,2
120555,Benny Burt,0
98166,Lynn Cartwright,1
1225439,Mason Curry,0
153413,David Macklin,2
3149,Marilyn Monroe,1
3150,Tony Curtis,2
3152,George Raft,2
3155,Pat O’Brien,0
3156,Joe E. Brown,0
3160,Nehemiah Persoff,2
1700403,Billy Gray,0
3163,George E. Stone,2
1238851,Dave Barry,0
84229,Mike Mazurki,2
1045763,Harry Wilson,0
164975,Beverly Wills,1
3168,Barbara Drew,1
81501,Edward G. Robinson Jr.,2
1072437,Brandon Beach,2
153395,Marian Collier,1
151865,Pat Comiskey,0
1152705,James Dime,2
1547818,Duke Fishman,2
16417,Paul Frees,2
1287871,Jack Gordon,0
120048,Joe Gray,0
562713,Harold 'Tommy' Hart,0
1514041,William Hoehne Jr.,0
115331,John Indrisano,0
34324,Tom Kennedy,2
151771,Jack Mather,2
134001,Laurie Mitchell,1
1364421,Scott Seaton,2
165132,Fred Sherman,2
1496053,Carl Sklover,0
1208035,Bert Stevens,0
1547827,Ralph Volkie,0
3345,Tito Vuolo,2
1221372,Sandra Warner,0
119255,Billy Wayne,2
1759,Grace Lee Whitney,1
1468481,Edwin Rochelle,0
569144,Frank McLure,2
191823,Steve Carruthers,0
2638,Cary Grant,2
6837,Walter Matthau,2
12950,George Kennedy,2
41714,Dominique Minot,0
18870,Ned Glass,2
26890,Jacques Marin,2
41716,Paul Bonifas,2
41717,Thomas Chelimsky,2
580699,Marc Arian,0
37119,Claudine Berg,0
579437,Marcel Bernier,0
1100817,Albert Daumergue,0
38172,Raoul Delfosse,2
13284,Stanley Donen,2
1326575,Jean Gold,2
24801,Chantal Goya,0
32162,Clément Harari,0
44823,Monte Landis,2
25976,Bernard Musson,2
251135,Antonio Passalia,0
580200,Jacques Préboist,2
41712,Peter Stone,2
1326565,Michel Thomass,2
3523,Roger Trapp,2
144970,Louis Viret,0
4110,Humphrey Bogart,2
8252,William Holden,2
50833,Walter Hampden,2
5182,John Williams,2
16759,Martha Hyer,1
50834,Joan Vohs,1
4121,Marcel Dalio,2
50835,Marcel Hillaire,2
50836,Nella Walker,1
50837,Francis X. Bushman,2
5738,Ellen Corby,1
97257,Marjorie Bennett,1
124875,Emory Parnell,2
30519,Nancy Kulp,1
34320,Paul Harvey,0
119506,Kay Riehl,0
5737,Raymond Bailey,2
164809,Ralph Brooks,2
207983,Colin Campbell,2
131479,Harvey B. Dunn,2
78894,Fritz Ford,2
1474802,Otto Forrest,0
34187,Chuck Hamilton,2
184636,Rand Harper,0
1216356,Sam Harris,2
61702,Kay E. Kuter,0
235726,Bill Neff,0
10610,Gregory Ratoff,2
75355,Marion Ross,1
34008,Emmett Vogan,0
569321,Lovyss Bradley,0
1581066,Jean Ransome,0
1471395,James Carlisle,0
1469588,Fred Rapport,0
1598135,Herschel Graham,0
8487,Gregory Peck,2
11998,Eddie Albert,2
11999,Hartley Power,2
12000,Harcourt Williams,2
12001,Margaret Rawlings,0
12002,Tullio Carminati,2
12003,Paolo Carlini,0
12004,Claudio Ermelli,2
12005,Paola Borboni,0
12006,Alfredo Rizzo,2
1315106,Laura Solari,0
1489908,Gorella Gori,0
1560722,Armando Annuale,0
131306,Maurizio Arena,0
228864,Gildo Bocci,0
39431,Andrea Esterhazy,1
1454254,George Higgins,0
1124231,Richard McNamara,2
999782,Luigi Moneta,0
1139841,Piero Pastore,0
225190,Mimmo Poli,2
38125,Giuliano Raffaelli,0
1177603,Carlo Rizzo,0
1201885,Gianna Segale,0
1127395,Dianora Veiga,0
89210,Marco Tulli,2
1130804,Tania Weber,1
73262,Catherine Wyler,1
19549,Greta Garbo,1
19550,Melvyn Douglas,2
116185,Ina Claire,1
1547,Bela Lugosi,2
2497,Sig Ruman,2
2494,Felix Bressart,2
9842,Alexander Granach,0
19551,Gregory Gaye,2
